pocket,compound_id,desalted_smiles,source_database,best_docking_score_kcal_mol,median_docking_score_kcal_mol,max_tanimoto_to_reference,fingerprint_methods,observation_count,original_smiles,canonical_smiles,mol_weight,logp,hbd,hba,tpsa,rotatable_bonds,heavy_atoms,passes_lipinski_light
BP2,85Z,Cc1cc(F)ccc1-c1c(Cc2ccc(/C=C/C(=O)O)cc2)c2ccc(O)cc2oc1=O,PDB ligand,-7.594,-7.594,0.584,Avalon,1,Cc1cc(ccc1c1c(c2ccc(cc2oc1=O)O)Cc1ccc(cc1)/C=C/C(=O)O)F,Cc1cc(F)ccc1-c1c(Cc2ccc(/C=C/C(=O)O)cc2)c2ccc(O)cc2oc1=O,430.431,5.302,2,4,87.74,5,32,False
BP2,CHEMBL2262363,O=c1oc2ccccc2c(O)c1-c1cccc(-c2c(O)c3ccccc3oc2=O)c1,ChEMBL23,-7.581,-7.581,0.797,Avalon,1,c1ccc2c(c1)oc(=O)c(c2O)c1cc(c2c(c3ccccc3oc2=O)O)ccc1,O=c1oc2ccccc2c(O)c1-c1cccc(-c2c(O)c3ccccc3oc2=O)c1,398.37,4.645,2,6,100.88,2,30,True
BP2,DB07236,Oc1ccc2cc(-c3noc4cc(O)ccc34)ccc2c1,DrugBank,-7.533,-7.533,0.34,RDK,1,c1(cc2c(cc1)cc(cc2)O)c1c2c(on1)cc(cc2)O,Oc1ccc2cc(-c3noc4cc(O)ccc34)ccc2c1,277.279,4.059,2,4,66.49,1,21,True
BP2,LSM-27001,O=c1oc2cc(OCc3ccc([N+](=O)[O-])cc3)ccc2c2c1CCCC2,LINCS,-7.532,-7.532,0.518,Avalon,1,[O-][N+](=O)c1ccc(COc2ccc3C4=C(CCCC4)C(=O)Oc3c2)cc1,O=c1oc2cc(OCc3ccc([N+](=O)[O-])cc3)ccc2c2c1CCCC2,351.358,4.159,0,5,82.58,4,26,True
BP2,317,CCc1oc2ccccc2c1C(=O)c1ccc(O)cc1,PDB ligand,-7.497,-7.497,0.667,Avalon;Pairs;RDK;Rdmaccs;Torsions,5,CCC1=C(C(=O)C2=CC=C(O)C=C2)C2=C(O1)C=CC=C2,CCc1oc2ccccc2c1C(=O)c1ccc(O)cc1,266.296,3.932,1,3,50.44,3,20,True
BP2,HMDB29534,CC(=O)c1c(O)ccc2c(=O)c(-c3ccccc3)c(C)oc12,HMDB,-7.487,-7.487,0.724,Rdmaccs,1,CC(=O)C1=C(O)C=CC2=C1OC(C)=C(C2=O)C1=CC=CC=C1,CC(=O)c1c(O)ccc2c(=O)c(-c3ccccc3)c(C)oc12,294.306,3.677,1,4,67.51,2,22,True
BP2,DB08820,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,DrugBank,-7.456,-7.456,0.426,Avalon;Morgan;Rdmaccs;Torsions,4,Oc1c(C(C)(C)C)cc(C(C)(C)C)c(NC(=O)c2c(=O)c3c([nH]c2)cccc3)c1,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,392.499,5.081,3,3,82.19,2,29,False
BP2,DB04750,O=C(O)c1ccc(-c2c3cc(F)c(=O)cc-3oc3cc(O)c(F)cc23)c(C(=O)O)c1,DrugBank,-7.429,-7.429,0.688,Avalon;Rdmaccs,2,OC(=O)c1cc(C(=O)O)c(cc1)c1c2cc(F)c(=O)cc2oc2cc(O)c(F)cc12,O=C(O)c1ccc(-c2c3cc(F)c(=O)cc-3oc3cc(O)c(F)cc23)c(C(=O)O)c1,412.3,3.945,3,5,125.04,3,30,True
BP2,1842204,O=C(Oc1cc(=O)oc2ccccc12)c1ccccc1,numeric library ID,-7.367,-7.367,0.8,Avalon;Morgan,2,O=C(Oc1cc(=O)oc2ccccc12)c1ccccc1,O=C(Oc1cc(=O)oc2ccccc12)c1ccccc1,266.252,3.012,0,4,56.51,2,20,True
BP2,MolPort-002-113-300,O=C(Oc1cc(=O)oc2ccccc12)c1ccccc1,MolPort,-7.367,-7.367,0.8,Avalon,1,O=C(Oc1cc(=O)oc2ccccc12)c1ccccc1,O=C(Oc1cc(=O)oc2ccccc12)c1ccccc1,266.252,3.012,0,4,56.51,2,20,True
BP2,ZINC000000296657,O=C(Oc1cc(=O)oc2ccccc12)c1ccccc1,ZINC15,-7.367,-7.367,0.8,Avalon;Morgan,2,O=C(Oc1cc(=O)oc2ccccc12)c1ccccc1,O=C(Oc1cc(=O)oc2ccccc12)c1ccccc1,266.252,3.012,0,4,56.51,2,20,True
BP2,DB01852,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,DrugBank,-7.312,-7.312,0.372,Pairs,1,c1c(c2c(cc1O)oc(c(c2=O)O)c1ccc(cc1)O)O,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,286.239,2.282,4,6,111.13,1,21,True
BP2,LSM-5304,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,LINCS,-7.312,-7.312,0.372,Pairs,1,OC1=C(Oc2cc(O)cc(O)c2C1=O)c3ccc(O)cc3,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,286.239,2.282,4,6,111.13,1,21,True
BP2,HMDB29219,O=c1oc2c(O)c(O)ccc2c2cc(O)c(O)cc12,HMDB,-7.247,-7.247,0.621,Morgan;RDK,2,OC1=CC2=C(C=C1O)C1=CC=C(O)C(O)=C1OC2=O,O=c1oc2c(O)c(O)ccc2c2cc(O)c(O)cc12,260.201,1.769,4,6,111.13,0,19,True
BP2,SCHEMBL11830680,O=c1cc(O)c2cc(Cc3ccccc3)ccc2o1,SureChEMBL,-7.191,-7.191,0.957,Avalon;FCFP;Morgan;Rdmaccs,4,c1c(cc2c(c1)oc(=O)cc2O)Cc1ccccc1,O=c1cc(O)c2cc(Cc3ccccc3)ccc2o1,252.269,3.089,1,3,50.44,2,19,True
BP2,17055,CC(=O)Oc1ccc2cc(-c3ccccc3)c(=O)oc2c1,numeric library ID,-7.183,-7.183,0.724,Rdmaccs,1,o1c2cc(ccc2cc(c1=O)c1ccccc1)OC(=O)C,CC(=O)Oc1ccc2cc(-c3ccccc3)c(=O)oc2c1,280.279,3.385,0,4,56.51,2,21,True
BP2,CHEMBL374372,O=c1cc(/C=C/c2ccc(O)c(O)c2)oc2ccccc12,ChEMBL23,-7.174,-7.174,0.541,Torsions,1,c1ccc2c(c1)oc(cc2=O)/C=C/c1cc(c(cc1)O)O,O=c1cc(/C=C/c2ccc(O)c(O)c2)oc2ccccc12,280.279,3.375,2,4,70.67,2,21,True
BP2,LSM-36455,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,LINCS,-7.102,-7.102,0.581,Morgan;RDK,2,Oc1cc2C(=O)Oc3c(O)c(O)cc4C(=O)Oc(c1O)c2c34,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,302.194,1.313,4,8,141.34,0,22,True
BP2,2357873,O=c1cc(O)c2c(=O)oc3ccccc3c2o1,numeric library ID,-7.02,-7.02,0.8,FCFP,1,Oc1cc(=O)oc2c3ccccc3oc(=O)c12,O=c1cc(O)c2c(=O)oc3ccccc3c2o1,230.175,1.605,1,5,80.65,0,17,True
BP2,MolPort-002-153-633,O=c1cc(O)c2c(=O)oc3ccccc3c2o1,MolPort,-7.02,-7.02,0.88,RDK;Rdmaccs;Torsions,3,Oc1cc(=O)oc2c1c(=O)oc1ccccc21,O=c1cc(O)c2c(=O)oc3ccccc3c2o1,230.175,1.605,1,5,80.65,0,17,True
BP2,ZINC000002897678,O=c1cc(O)c2c(=O)oc3ccccc3c2o1,ZINC15,-7.02,-7.02,0.8,FCFP,1,O=c1cc(O)c2c(=O)oc3ccccc3c2o1,O=c1cc(O)c2c(=O)oc3ccccc3c2o1,230.175,1.605,1,5,80.65,0,17,True
BP2,2035856,O=c1cc(Oc2cc(=O)oc3ccccc23)c2ccccc2o1,numeric library ID,-7.005,-7.005,0.791,RDK,1,O=c1cc(Oc2cc(=O)oc3ccccc23)c2ccccc2o1,O=c1cc(Oc2cc(=O)oc3ccccc23)c2ccccc2o1,306.273,3.692,0,5,69.65,2,23,True
BP2,CHEMBL3094027,O=c1cc(O)c2ccc(OCc3cccc(F)c3)cc2o1,ChEMBL23,-6.968,-6.968,0.672,RDK,1,c1(=O)cc(c2ccc(cc2o1)OCc1cc(ccc1)F)O,O=c1cc(O)c2ccc(OCc3cccc(F)c3)cc2o1,286.258,3.217,1,4,59.67,3,21,True
BP2,2608,O=c1cc2oc3cc(O)c(O)cc3c(-c3ccccc3)c-2cc1O,numeric library ID,-6.961,-6.961,0.476,Torsions,1,o1c2c(c(c3ccccc3)c3cc(c(cc13)O)O)cc(c(=O)c2)O,O=c1cc2oc3cc(O)c(O)cc3c(-c3ccccc3)c-2cc1O,320.3,3.682,3,5,90.9,1,24,True
BP2,HMDB29518,CC(=O)c1ccc2oc(=O)cc(C)c2c1O,HMDB,-6.957,-6.957,0.714,Pairs;Pattern,2,CC(=O)C1=C(O)C2=C(OC(=O)C=C2C)C=C1,CC(=O)c1ccc2oc(=O)cc(C)c2c1O,218.208,2.01,1,4,67.51,1,16,True
BP2,1477,CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1,numeric library ID,-6.953,-6.953,0.614,Pattern,1,CC(C)OC1=CC=C2C(=O)C(=COC2=C1)C1=CC=CC=C1,CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1,280.323,4.247,0,3,39.44,3,21,True
BP2,LSM-17202,O=c1cc(CN2CCOCC2)c2cc(Cl)c(O)cc2o1,LINCS,-6.917,-6.917,0.64,Pattern,1,Oc1cc2OC(=O)C=C(CN3CCOCC3)c2cc1Cl,O=c1cc(CN2CCOCC2)c2cc(Cl)c(O)cc2o1,295.722,1.984,1,5,62.91,2,20,True
BP2,DB08100,Cc1cc(/C=C/c2ccccc2)cc(C)c1O,DrugBank,-6.88,-6.88,0.637,Pattern,1,Cc1cc(cc(c1O)C)/C=C/c1ccccc1,Cc1cc(/C=C/c2ccccc2)cc(C)c1O,224.303,4.179,1,1,20.23,2,17,True
BP2,380712,O=c1cc(O)c2ccc3ccccc3c2o1,numeric library ID,-6.86,-6.86,0.605,Pairs,1,c1(=O)cc(c2c(c3ccccc3cc2)o1)O,O=c1cc(O)c2ccc3ccccc3c2o1,212.204,2.652,1,3,50.44,0,16,True
BP2,50005460,O=c1cc(O)c2ccc3ccccc3c2o1,numeric library ID,-6.86,-6.86,0.625,Pairs;Torsions,2,Oc1cc(=O)oc2c1ccc1ccccc21,O=c1cc(O)c2ccc3ccccc3c2o1,212.204,2.652,1,3,50.44,0,16,True
BP2,MolPort-035-673-217,O=c1cc(O)c2ccc3ccccc3c2o1,MolPort,-6.86,-6.86,0.605,Pairs,1,Oc1cc(=O)oc2c1ccc1ccccc21,O=c1cc(O)c2ccc3ccccc3c2o1,212.204,2.652,1,3,50.44,0,16,True
BP2,SCHEMBL2761855,O=c1cc(O)c2ccc3ccccc3c2o1,SureChEMBL,-6.86,-6.86,0.896,RDK,1,c1(=O)cc(c2ccc3c(c2o1)cccc3)O,O=c1cc(O)c2ccc3ccccc3c2o1,212.204,2.652,1,3,50.44,0,16,True
BP2,ZINC000006576436,O=c1cc(O)c2ccc3ccccc3c2o1,ZINC15,-6.86,-6.86,0.896,Pairs;RDK,2,O=c1cc(O)c2ccc3ccccc3c2o1,O=c1cc(O)c2ccc3ccccc3c2o1,212.204,2.652,1,3,50.44,0,16,True
BP2,32838,O=C1NC(=O)C2(CCc3ccccc32)N1,numeric library ID,-6.786,-6.786,0.311,Pairs,1,O=C1NC2(C(=O)N1)CCc1c2cccc1,O=C1NC(=O)C2(CCc3ccccc32)N1,202.213,0.667,2,2,58.2,0,15,True
BP2,XZZ,Cc1cc(=O)oc2cc(O)c(Cl)cc12,PDB ligand,-6.748,-6.748,0.768,Pattern,1,c1c(Cl)c(cc2oc(=O)cc(C)c12)O,Cc1cc(=O)oc2cc(O)c(Cl)cc12,210.616,2.46,1,3,50.44,0,14,True
BP2,CHEMBL227815,O=C1C(O)=Cc2cccc3cccc1c23,ChEMBL23,-6.711,-6.711,0.545,Pairs,1,c1ccc2cccc3c2c1C=C(C3=O)O,O=C1C(O)=Cc2cccc3cccc1c23,196.205,2.935,1,2,37.3,0,15,True
BP2,SCHEMBL8945680,O=c1cc(O)c2cc(-c3ccccc3)ccc2o1,SureChEMBL,-6.711,-6.711,0.71,Torsions,1,o1c2c(c(cc1=O)O)cc(cc2)c1ccccc1,O=c1cc(O)c2cc(-c3ccccc3)ccc2o1,238.242,3.166,1,3,50.44,1,18,True
BP2,764465,Cc1cc(=O)oc2cc(O)c(N)cc12,numeric library ID,-6.684,-6.684,0.777,Pattern,1,c1c2c(cc(c1N)O)oc(=O)cc2C,Cc1cc(=O)oc2cc(O)c(N)cc12,191.186,1.389,2,4,76.46,0,14,True
BP2,DB09096,O=C(OOC(=O)c1ccccc1)c1ccccc1,DrugBank,-6.587,-6.587,0.582,Pattern,1,c1ccc(cc1)C(=O)OOC(=O)c1ccccc1,O=C(OOC(=O)c1ccccc1)c1ccccc1,242.23,2.615,0,4,52.6,2,18,True
BP2,DB00794,CCC1(c2ccccc2)C(=O)NCNC1=O,DrugBank,-6.541,-6.541,0.275,Pairs,1,O=C1NCNC(=O)C1(CC)c1ccccc1,CCC1(c2ccccc2)C(=O)NCNC1=O,218.256,0.538,2,2,58.2,2,16,True
BP2,3WL,O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,PDB ligand,-6.505,-6.505,0.444,Pairs,1,c1ccccc1c1cc(=O)c2c(c(c(cc2o1)O)O)O,O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,270.24,2.577,3,5,90.9,1,20,True
BP2,529222,Cc1cc(=O)oc2cc(O)ccc12,numeric library ID,-6.453,-6.453,0.854,Pattern,1,Cc1cc(=O)oc2cc(O)ccc12,Cc1cc(=O)oc2cc(O)ccc12,176.171,1.807,1,3,50.44,0,13,True
BP2,CHEMBL12208,Cc1cc(=O)oc2cc(O)ccc12,ChEMBL23,-6.453,-6.453,0.854,Pattern,1,o1c2c(c(cc1=O)C)ccc(O)c2,Cc1cc(=O)oc2cc(O)ccc12,176.171,1.807,1,3,50.44,0,13,True
BP2,MolPort-000-467-367,Cc1cc(=O)oc2cc(O)ccc12,MolPort,-6.453,-6.453,0.854,Pattern,1,Cc1cc(=O)oc2cc(O)ccc12,Cc1cc(=O)oc2cc(O)ccc12,176.171,1.807,1,3,50.44,0,13,True
BP2,ZINC000000058121,Cc1cc(=O)oc2cc(O)ccc12,ZINC15,-6.453,-6.453,0.854,Pattern,1,Cc1cc(=O)oc2cc(O)ccc12,Cc1cc(=O)oc2cc(O)ccc12,176.171,1.807,1,3,50.44,0,13,True
BP2,SCHEMBL11848480,O=c1cc(O)c2ccc(O)cc2o1,SureChEMBL,-6.134,-6.134,0.919,Pattern,1,c1(O)cc2c(c(O)cc(=O)o2)cc1,O=c1cc(O)c2ccc(O)cc2o1,178.143,1.204,2,4,70.67,0,13,True
BP2,SCHEMBL1366927,O=c1ccc2cccc(O)c2o1,SureChEMBL,-5.969,-5.969,0.774,Pairs,1,c1(=O)ccc2cccc(c2o1)O,O=c1ccc2cccc(O)c2o1,162.144,1.499,1,3,50.44,0,12,True
