pocket,compound_id,desalted_smiles,source_database,best_docking_score_kcal_mol,median_docking_score_kcal_mol,max_tanimoto_to_reference,fingerprint_methods,observation_count,original_smiles,canonical_smiles,mol_weight,logp,hbd,hba,tpsa,rotatable_bonds,heavy_atoms,passes_lipinski_light
BP1,MolPort-000-744-145,Cc1cc(=O)oc2cc(O)cc(O)c12,MolPort,-7.062,-7.062,0.649,FCFP;RDK,2,Cc1cc(=O)oc2cc(O)cc(O)c12,Cc1cc(=O)oc2cc(O)cc(O)c12,192.17,1.513,2,4,70.67,0,14,True
BP1,ZINC000000058126,Cc1cc(=O)oc2cc(O)cc(O)c12,ZINC15,-7.062,-7.062,0.586,FCFP,1,Cc1cc(=O)oc2cc(O)cc(O)c12,Cc1cc(=O)oc2cc(O)cc(O)c12,192.17,1.513,2,4,70.67,0,14,True
BP1,HMDB59801,Oc1cc2ccccc2c2ccccc12,HMDB,-7.051,-7.051,0.406,Torsions,1,OC1=CC2=CC=CC=C2C2=CC=CC=C12,Oc1cc2ccccc2c2ccccc12,194.233,3.699,1,1,20.23,0,15,True
BP1,151252,O=C(O)c1cc2ccccc2c2cc(Br)ccc12,numeric library ID,-7.043,-7.043,0.5,Morgan;Pairs;Rdmaccs;Torsions,4,Brc1ccc2c(c1)c1ccccc1cc2C(=O)O,O=C(O)c1cc2ccccc2c2cc(Br)ccc12,301.139,4.454,1,1,37.3,1,18,True
BP1,CHEMBL271516,O=c1cc(CCl)c2ccc(O)cc2o1,ChEMBL23,-7.036,-7.036,0.815,Pattern,1,c1c(cc2c(c1)c(cc(=O)o2)CCl)O,O=c1cc(CCl)c2ccc(O)cc2o1,210.616,2.237,1,3,50.44,1,14,True
BP1,MolPort-000-422-134,O=c1cc(CCl)c2ccc(O)cc2o1,MolPort,-7.036,-7.036,0.815,Pattern,1,Oc1ccc2c(CCl)cc(=O)oc2c1,O=c1cc(CCl)c2ccc(O)cc2o1,210.616,2.237,1,3,50.44,1,14,True
BP1,LSM-25905,Cc1cc(O)nc2cc(O)ccc12,LINCS,-7.024,-7.024,0.645,Pattern,1,Cc1cc(O)nc2cc(O)ccc12,Cc1cc(O)nc2cc(O)ccc12,175.187,1.954,2,3,53.35,0,13,True
BP1,54870284,COc1ccc2c(=O)oc3cc(O)ccc3c2c1,numeric library ID,-6.991,-6.991,0.691,RDK,1,COc1ccc2c(c1)c1ccc(O)cc1oc2=O,COc1ccc2c(=O)oc3cc(O)ccc3c2c1,242.23,2.66,1,4,59.67,1,18,True
BP1,LSM-32647,CN(C)C(=O)c1c(-c2ccccc2)oc2ccc(O)cc12,LINCS,-6.988,-6.988,0.304,Morgan,1,CN(C)C(=O)c1c(oc2ccc(O)cc12)c3ccccc3,CN(C)C(=O)c1c(-c2ccccc2)oc2ccc(O)cc12,281.311,3.507,1,3,53.68,2,21,True
BP1,LSM-33579,O=C(NC1CCCC1)c1cc2c(ccc3ccccc32)o1,LINCS,-6.986,-6.986,0.395,Torsions,1,O=C(NC1CCCC1)c2oc3ccc4ccccc4c3c2,O=C(NC1CCCC1)c1cc2c(ccc3ccccc32)o1,279.339,4.258,1,2,42.24,2,21,True
BP1,53845739,C#Cc1cc(=O)oc2ccccc12,numeric library ID,-6.98,-6.98,0.847,Pairs;Pattern;Torsions,3,O=c1cc(C#C)c2ccccc2o1,C#Cc1cc(=O)oc2ccccc12,170.167,1.774,0,2,30.21,0,13,True
BP1,SCHEMBL13315779,C#Cc1cc(=O)oc2ccccc12,SureChEMBL,-6.98,-6.98,0.704,Morgan;Torsions,2,c1ccc2c(c1)oc(=O)cc2C#C,C#Cc1cc(=O)oc2ccccc12,170.167,1.774,0,2,30.21,0,13,True
BP1,ZINC000200389531,C#Cc1cc(=O)oc2ccccc12,ZINC15,-6.98,-6.98,0.847,Pairs;Pattern;Torsions,3,C#Cc1cc(=O)oc2ccccc12,C#Cc1cc(=O)oc2ccccc12,170.167,1.774,0,2,30.21,0,13,True
