desalted_smiles,compound_ids,source_databases,BP1,BP2,ensemble_best_score_kcal_mol,ensemble_mean_score_kcal_mol,observed_pocket_count,rank_ensemble_best,rank_ensemble_mean,max_tanimoto_to_reference,mol_weight,logp,hbd,hba,tpsa,rotatable_bonds,heavy_atoms,passes_lipinski_light
O=c1ccc2c(ccc3oc4ccccc4c32)o1,CHEMBL1929523,ChEMBL23,-7.388,,-7.388,-7.388,1,28,28,0.6,236.226,3.692,0,3,43.35,0,18,True
O=C(Oc1cc(=O)oc2ccccc12)c1ccccc1,1842204;MolPort-002-113-300;ZINC000000296657,MolPort;ZINC15;numeric library ID,,-7.367,-7.367,-7.367,1,29,29,0.8,266.252,3.012,0,4,56.51,2,20,True
N#Cc1c(O)c2cc3ccccc3cc2oc1=O,CHEMBL3306562,ChEMBL23,-7.338,,-7.338,-7.338,1,30,30,0.75,237.214,2.523,1,4,74.23,0,18,True
Oc1ccc(-c2cnc3ccc4ccncc4c3c2)cc1,DB03623,DrugBank,-7.328,,-7.328,-7.328,1,31,31,0.316,272.307,4.156,1,3,46.01,1,21,True
Cc1c(C)c2ccc(O)cc2oc1=O,MolPort-002-367-171,MolPort,-7.327,,-7.327,-7.327,1,32,32,0.846,190.198,2.115,1,3,50.44,0,14,True
O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,DB01852;LSM-5304,DrugBank;LINCS,,-7.312,-7.312,-7.312,1,33,33,0.372,286.239,2.282,4,6,111.13,1,21,True
O=c1cc(-c2ccccc2)oc2c1ccc1ccc(O)cc12,CHEMBL329500,ChEMBL23,-7.27,,-7.27,-7.27,1,34,34,0.913,288.302,4.319,1,3,50.44,1,22,True
O=c1oc2c(O)c(O)ccc2c2cc(O)c(O)cc12,HMDB29219,HMDB,,-7.247,-7.247,-7.247,1,35,35,0.621,260.201,1.769,4,6,111.13,0,19,True
c1ccc2c(c1)ccc1ccccc12,PEY,PDB ligand,-7.242,,-7.242,-7.242,1,36,36,0.659,178.234,3.993,0,0,0.0,0,14,True
O=c1oc2cc(O)ccc2c2oc3cc(O)cc(O)c3c12,HMDB34138,HMDB,-7.241,,-7.241,-7.241,1,37,37,0.786,284.223,2.809,3,6,104.04,0,21,True
CC1(C)c2ccccc2-c2nc3ccccc3cc2C1O,19824,numeric library ID,-7.229,,-7.229,-7.229,1,38,38,0.282,275.351,4.226,1,2,33.12,0,21,True
Oc1cc(-c2cc3ccccc3o2)c(Br)c(O)c1O,CHEMBL3409185,ChEMBL23,-7.206,,-7.206,-7.206,1,39,39,0.571,321.126,3.979,3,4,73.83,1,19,True
O=c1cc(O)c2cc(Cc3ccccc3)ccc2o1,SCHEMBL11830680,SureChEMBL,,-7.191,-7.191,-7.191,1,40,40,0.957,252.269,3.089,1,3,50.44,2,19,True
CC(=O)Oc1ccc2cc(-c3ccccc3)c(=O)oc2c1,17055,numeric library ID,,-7.183,-7.183,-7.183,1,41,41,0.724,280.279,3.385,0,4,56.51,2,21,True
O=c1cc(/C=C/c2ccc(O)c(O)c2)oc2ccccc12,CHEMBL374372,ChEMBL23,,-7.174,-7.174,-7.174,1,42,42,0.541,280.279,3.375,2,4,70.67,2,21,True
Oc1ccc(-c2cc(O)cc(O)c2)cc1,HMDB32713,HMDB,-7.148,,-7.148,-7.148,1,43,43,0.66,202.209,2.47,3,3,60.69,1,15,True
Oc1ccc2c(ccc3ccccc32)c1,HMDB59798,HMDB,-7.118,,-7.118,-7.118,1,44,44,0.432,194.233,3.699,1,1,20.23,0,15,True
O=C(O)c1cc2cc(O)ccc2cc1O,DB04641,DrugBank,-7.11,,-7.11,-7.11,1,45,45,0.704,204.181,1.949,3,3,77.76,1,15,True
