compound_id,docking_score_kcal_mol,tanimoto_to_reference,smiles,fingerprint_method,pocket,source_file,valid_smiles,canonical_smiles,desalted_smiles,mol_weight,logp,hbd,hba,tpsa,rotatable_bonds,heavy_atoms,source_database,passes_lipinski_light
1401,-6.967,0.854,CC1=CC(=O)OC2=C1C=CC(O)=C2,Pattern,BP1,BP1_candidates.xlsx,True,Cc1cc(=O)oc2cc(O)ccc12,Cc1cc(=O)oc2cc(O)ccc12,176.171,1.807,1,3,50.44,0,13,numeric library ID,True
1401,-6.967,0.645,CC1=CC(=O)OC2=C1C=CC(O)=C2,RDK,BP1,BP1_candidates.xlsx,True,Cc1cc(=O)oc2cc(O)ccc12,Cc1cc(=O)oc2cc(O)ccc12,176.171,1.807,1,3,50.44,0,13,numeric library ID,True
1401,-6.967,0.957,CC1=CC(=O)OC2=C1C=CC(O)=C2,Rdmaccs,BP1,BP1_candidates.xlsx,True,Cc1cc(=O)oc2cc(O)ccc12,Cc1cc(=O)oc2cc(O)ccc12,176.171,1.807,1,3,50.44,0,13,numeric library ID,True
1401,-6.967,0.516,CC1=CC(=O)OC2=C1C=CC(O)=C2,Torsions,BP1,BP1_candidates.xlsx,True,Cc1cc(=O)oc2cc(O)ccc12,Cc1cc(=O)oc2cc(O)ccc12,176.171,1.807,1,3,50.44,0,13,numeric library ID,True
29698120,-6.856,0.913,Oc1cc(=O)oc2cc(F)ccc12,Avalon,BP1,BP1_candidates.xlsx,True,O=c1cc(O)c2ccc(F)cc2o1,O=c1cc(O)c2ccc(F)cc2o1,180.134,1.638,1,3,50.44,0,13,numeric library ID,True
4417258,-6.954,0.613,Cc1ccc(cc1)C(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,FCFP,BP1,BP1_candidates.xlsx,True,Cc1ccc(C(c2c(O)c3ccccc3oc2=O)c2c(O)c3ccccc3oc2=O)cc1,Cc1ccc(C(c2c(O)c3ccccc3oc2=O)c2c(O)c3ccccc3oc2=O)cc1,426.424,4.799,2,6,100.88,3,32,numeric library ID,True
10510606,-7.092,0.514,Oc1cc(O)c2c(c1)oc1ccccc1c2=O,Morgan,BP1,BP1_candidates.xlsx,True,O=c1c2ccccc2oc2cc(O)cc(O)c12,O=c1c2ccccc2oc2cc(O)cc(O)c12,228.203,2.357,2,4,70.67,0,17,numeric library ID,True
53845739,-6.98,0.587,O=c1cc(C#C)c2ccccc2o1,Pairs,BP1,BP1_candidates.xlsx,True,C#Cc1cc(=O)oc2ccccc12,C#Cc1cc(=O)oc2ccccc12,170.167,1.774,0,2,30.21,0,13,numeric library ID,True
53845739,-6.98,0.847,O=c1cc(C#C)c2ccccc2o1,Pattern,BP1,BP1_candidates.xlsx,True,C#Cc1cc(=O)oc2ccccc12,C#Cc1cc(=O)oc2ccccc12,170.167,1.774,0,2,30.21,0,13,numeric library ID,True
54870284,-6.991,0.691,COc1ccc2c(c1)c1ccc(O)cc1oc2=O,RDK,BP1,BP1_candidates.xlsx,True,COc1ccc2c(=O)oc3cc(O)ccc3c2c1,COc1ccc2c(=O)oc3cc(O)ccc3c2c1,242.23,2.66,1,4,59.67,1,18,numeric library ID,True
