pocket,compound_ids,source_databases,desalted_smiles,old_best_docking_score_kcal_mol,new_vina_score_kcal_mol,score_delta_new_minus_old,ligand_name,out_pdbqt,log_path,returncode
BP1,LSM-32647,LINCS,CN(C)C(=O)c1c(-c2ccccc2)oc2ccc(O)cc12,-6.988,-6.547,0.4410000000000007,BP1_LSM-32647,work/docking/BP1/BP1_LSM-32647_vina_out.pdbqt,work/docking/BP1/BP1_LSM-32647_vina.log,0
BP1,LSM-33579,LINCS,O=C(NC1CCCC1)c1cc2c(ccc3ccccc32)o1,-6.986,-7.225,-0.23899999999999988,BP1_LSM-33579,work/docking/BP1/BP1_LSM-33579_vina_out.pdbqt,work/docking/BP1/BP1_LSM-33579_vina.log,0
BP1,53845739;SCHEMBL13315779;ZINC000200389531,SureChEMBL;ZINC15;numeric library ID,C#Cc1cc(=O)oc2ccccc12,-6.98,-6.714,0.266,BP1_53845739,work/docking/BP1/BP1_53845739_vina_out.pdbqt,work/docking/BP1/BP1_53845739_vina.log,0
BP1,1401;4MU;529222;760397;DB07118;HMDB59622;LSM-3025,DrugBank;HMDB;LINCS;PDB ligand;numeric library ID,Cc1cc(=O)oc2cc(O)ccc12,-6.967,-7.177,-0.20999999999999996,BP1_1401,work/docking/BP1/BP1_1401_vina_out.pdbqt,work/docking/BP1/BP1_1401_vina.log,0
BP1,4417258,numeric library ID,Cc1ccc(C(c2c(O)c3ccccc3oc2=O)c2c(O)c3ccccc3oc2=O)cc1,-6.954,-7.267,-0.3130000000000006,BP1_4417258,work/docking/BP1/BP1_4417258_vina_out.pdbqt,work/docking/BP1/BP1_4417258_vina.log,0
BP1,62129,numeric library ID,Oc1ccc2c(ccc3nc[nH]c32)c1,-6.945,-6.903,0.0420000000000007,BP1_62129,work/docking/BP1/BP1_62129_vina_out.pdbqt,work/docking/BP1/BP1_62129_vina.log,0
BP1,MolPort-000-499-561,MolPort,O=C(O)c1cc(=O)c2ccccc2o1,-6.931,-6.978,-0.04699999999999971,BP1_MolPort-000-499-561,work/docking/BP1/BP1_MolPort-000-499-561_vina_out.pdbqt,work/docking/BP1/BP1_MolPort-000-499-561_vina.log,0
BP1,DB00776,DrugBank,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,-6.883,-8.02,-1.1369999999999996,BP1_DB00776,work/docking/BP1/BP1_DB00776_vina_out.pdbqt,work/docking/BP1/BP1_DB00776_vina.log,0
BP1,29698120;SCHEMBL2761833;ZINC000044672070,SureChEMBL;ZINC15;numeric library ID,O=c1cc(O)c2ccc(F)cc2o1,-6.856,-6.917,-0.06099999999999994,BP1_29698120,work/docking/BP1/BP1_29698120_vina_out.pdbqt,work/docking/BP1/BP1_29698120_vina.log,0
BP1,CHEMBL32810;MolPort-002-043-397;SCHEMBL11848480,ChEMBL23;MolPort;SureChEMBL,O=c1cc(O)c2ccc(O)cc2o1,-6.759,-6.793,-0.03399999999999981,BP1_CHEMBL32810,work/docking/BP1/BP1_CHEMBL32810_vina_out.pdbqt,work/docking/BP1/BP1_CHEMBL32810_vina.log,0
