pocket,compound_ids,source_databases,desalted_smiles,ligand_name,conformation_id,conformation_mode,conformation_direction,old_best_docking_score_kcal_mol,ensemble_vina_score_kcal_mol,out_pdbqt,log_path,returncode
BP1,CHEMBL271516;MolPort-000-422-134,ChEMBL23;MolPort,O=c1cc(CCl)c2ccc(O)cc2o1,BP1_CHEMBL271516,conf00_base,base,0,-7.036,-6.564,work/ensemble_docking/conf00_base/BP1/BP1_CHEMBL271516_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP1/BP1_CHEMBL271516_vina.log,0
BP1,LSM-25905,LINCS,Cc1cc(O)nc2cc(O)ccc12,BP1_LSM-25905,conf00_base,base,0,-7.024,-6.371,work/ensemble_docking/conf00_base/BP1/BP1_LSM-25905_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP1/BP1_LSM-25905_vina.log,0
BP1,54870284,numeric library ID,COc1ccc2c(=O)oc3cc(O)ccc3c2c1,BP1_54870284,conf00_base,base,0,-6.991,-6.963,work/ensemble_docking/conf00_base/BP1/BP1_54870284_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP1/BP1_54870284_vina.log,0
BP1,LSM-32647,LINCS,CN(C)C(=O)c1c(-c2ccccc2)oc2ccc(O)cc12,BP1_LSM-32647,conf00_base,base,0,-6.988,-6.588,work/ensemble_docking/conf00_base/BP1/BP1_LSM-32647_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP1/BP1_LSM-32647_vina.log,0
BP1,LSM-33579,LINCS,O=C(NC1CCCC1)c1cc2c(ccc3ccccc32)o1,BP1_LSM-33579,conf00_base,base,0,-6.986,-7.24,work/ensemble_docking/conf00_base/BP1/BP1_LSM-33579_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP1/BP1_LSM-33579_vina.log,0
BP1,53845739;SCHEMBL13315779;ZINC000200389531,SureChEMBL;ZINC15;numeric library ID,C#Cc1cc(=O)oc2ccccc12,BP1_53845739,conf00_base,base,0,-6.98,-6.395,work/ensemble_docking/conf00_base/BP1/BP1_53845739_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP1/BP1_53845739_vina.log,0
BP1,1401;4MU;529222;760397;DB07118;HMDB59622;LSM-3025,DrugBank;HMDB;LINCS;PDB ligand;numeric library ID,Cc1cc(=O)oc2cc(O)ccc12,BP1_1401,conf00_base,base,0,-6.967,-6.729,work/ensemble_docking/conf00_base/BP1/BP1_1401_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP1/BP1_1401_vina.log,0
BP1,4417258,numeric library ID,Cc1ccc(C(c2c(O)c3ccccc3oc2=O)c2c(O)c3ccccc3oc2=O)cc1,BP1_4417258,conf00_base,base,0,-6.954,-7.376,work/ensemble_docking/conf00_base/BP1/BP1_4417258_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP1/BP1_4417258_vina.log,0
BP1,62129,numeric library ID,Oc1ccc2c(ccc3nc[nH]c32)c1,BP1_62129,conf00_base,base,0,-6.945,-7.105,work/ensemble_docking/conf00_base/BP1/BP1_62129_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP1/BP1_62129_vina.log,0
BP1,MolPort-000-499-561,MolPort,O=C(O)c1cc(=O)c2ccccc2o1,BP1_MolPort-000-499-561,conf00_base,base,0,-6.931,-6.698,work/ensemble_docking/conf00_base/BP1/BP1_MolPort-000-499-561_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP1/BP1_MolPort-000-499-561_vina.log,0
BP1,DB00776,DrugBank,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,BP1_DB00776,conf00_base,base,0,-6.883,-7.653,work/ensemble_docking/conf00_base/BP1/BP1_DB00776_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP1/BP1_DB00776_vina.log,0
BP1,29698120;SCHEMBL2761833;ZINC000044672070,SureChEMBL;ZINC15;numeric library ID,O=c1cc(O)c2ccc(F)cc2o1,BP1_29698120,conf00_base,base,0,-6.856,-6.522,work/ensemble_docking/conf00_base/BP1/BP1_29698120_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP1/BP1_29698120_vina.log,0
BP1,CHEMBL32810;MolPort-002-043-397;SCHEMBL11848480,ChEMBL23;MolPort;SureChEMBL,O=c1cc(O)c2ccc(O)cc2o1,BP1_CHEMBL32810,conf00_base,base,0,-6.759,-6.341,work/ensemble_docking/conf00_base/BP1/BP1_CHEMBL32810_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP1/BP1_CHEMBL32810_vina.log,0
BP1,5426,numeric library ID,Cc1c2cc(O)c(=O)cc-2oc2cc(O)c(O)cc12,BP1_5426,conf00_base,base,0,-6.757,-6.827,work/ensemble_docking/conf00_base/BP1/BP1_5426_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP1/BP1_5426_vina.log,0
BP1,DB00170,DrugBank,CC1=CC(=O)c2ccccc2C1=O,BP1_DB00170,conf00_base,base,0,-6.575,-6.32,work/ensemble_docking/conf00_base/BP1/BP1_DB00170_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP1/BP1_DB00170_vina.log,0
BP1,SCHEMBL9642273,SureChEMBL,O=c1[cH-]c(=O)c2ccccc2o1,BP1_SCHEMBL9642273,conf00_base,base,0,-6.514,-6.118,work/ensemble_docking/conf00_base/BP1/BP1_SCHEMBL9642273_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP1/BP1_SCHEMBL9642273_vina.log,0
BP1,DB04840,DrugBank,N=C(N)N1CCc2ccccc2C1,BP1_DB04840,conf00_base,base,0,-6.513,-6.382,work/ensemble_docking/conf00_base/BP1/BP1_DB04840_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP1/BP1_DB04840_vina.log,0
BP1,DB00972,DrugBank,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,BP1_DB00972,conf00_base,base,0,-6.318,-7.07,work/ensemble_docking/conf00_base/BP1/BP1_DB00972_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP1/BP1_DB00972_vina.log,0
BP2,746361,numeric library ID,Oc1cc(-c2nc3ccccc3o2)c(O)cc1-c1nc2ccccc2o1,BP2_746361,conf00_base,base,0,-9.116,-9.079,work/ensemble_docking/conf00_base/BP2/BP2_746361_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_746361_vina.log,0
BP2,3543,numeric library ID,Cc1ccccc1N=Nc1ccc(N=Nc2c(O)ccc3ccccc23)c(C)c1,BP2_3543,conf00_base,base,0,-9.093,-8.45,work/ensemble_docking/conf00_base/BP2/BP2_3543_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_3543_vina.log,0
BP2,118810,numeric library ID,Cc1cc(=O)oc2cc(O)cc(OCc3ccccc3)c12,BP2_118810,conf00_base,base,0,-8.495,-8.902,work/ensemble_docking/conf00_base/BP2/BP2_118810_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_118810_vina.log,0
BP2,50651,numeric library ID,O=C(Nc1ccc(Cl)cc1)c1cc2c(cc1O)[nH]c1ccccc12,BP2_50651,conf00_base,base,0,-8.307,-8.738,work/ensemble_docking/conf00_base/BP2/BP2_50651_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_50651_vina.log,0
BP2,MolPort-002-321-924,MolPort,O=C(NNC(=O)c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,BP2_MolPort-002-321-924,conf00_base,base,0,-8.303,-8.935,work/ensemble_docking/conf00_base/BP2/BP2_MolPort-002-321-924_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_MolPort-002-321-924_vina.log,0
BP2,686393;CHEMBL392451,ChEMBL23;numeric library ID,O=c1oc2ccccc2c(O)c1C(c1cccc(C(c2c(O)c3ccccc3oc2=O)c2c(O)c3ccccc3oc2=O)c1)c1c(O)c2ccccc2oc1=O,BP2_686393,conf00_base,base,0,-8.211,-10.46,work/ensemble_docking/conf00_base/BP2/BP2_686393_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_686393_vina.log,0
BP2,CHEMBL1364708;MolPort-003-378-434,ChEMBL23;MolPort,O=c1cc(-c2cc3ccccc3o2)c2cc(O)ccc2o1,BP2_CHEMBL1364708,conf00_base,base,0,-8.175,-8.143,work/ensemble_docking/conf00_base/BP2/BP2_CHEMBL1364708_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_CHEMBL1364708_vina.log,0
BP2,4368550;CHEMBL1801014;ZINC000000057885,ChEMBL23;ZINC15;numeric library ID,O=c1cc(-c2cccc(O)c2)oc2c1ccc1ccccc12,BP2_4368550,conf00_base,base,0,-8.141,-8.96,work/ensemble_docking/conf00_base/BP2/BP2_4368550_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_4368550_vina.log,0
BP2,7524,numeric library ID,COc1ccc(C(=O)O[C@H]2CC[C@@]3(C)[C@@H]4CC[C@H]5[C@]6(O)C[C@H](O)[C@@]7(O)[C@@H](CN8C[C@@H](C)CC[C@H]8[C@@]7(C)O)[C@]6(O)C[C@@]53O[C@@]24O)cc1OC,BP2_7524,conf00_base,base,0,-8.124,-8.864,work/ensemble_docking/conf00_base/BP2/BP2_7524_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_7524_vina.log,0
BP2,656562,numeric library ID,O=c1oc2cc3ccccc3cc2c2c1ccc1ccccc12,BP2_656562,conf00_base,base,0,-8.08,-8.756,work/ensemble_docking/conf00_base/BP2/BP2_656562_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_656562_vina.log,0
BP2,DB06595,DrugBank,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,BP2_DB06595,conf00_base,base,0,-7.953,-9.53,work/ensemble_docking/conf00_base/BP2/BP2_DB06595_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_DB06595_vina.log,0
BP2,HMDB30796;LSM-36988;MRI,HMDB;LINCS;PDB ligand,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,BP2_HMDB30796,conf00_base,base,0,-7.943,-7.621,work/ensemble_docking/conf00_base/BP2/BP2_HMDB30796_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_HMDB30796_vina.log,0
BP2,71881,numeric library ID,O=C(Nc1ccc2ncccc2c1)Nc1ccc2ncccc2c1,BP2_71881,conf00_base,base,0,-7.856,-8.899,work/ensemble_docking/conf00_base/BP2/BP2_71881_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_71881_vina.log,0
BP2,338;DB07009,DrugBank;PDB ligand,Oc1ccc2nc(-c3cccc4c(O)cccc34)oc2c1,BP2_338,conf00_base,base,0,-7.843,-8.258,work/ensemble_docking/conf00_base/BP2/BP2_338_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_338_vina.log,0
BP2,HMDB30821,HMDB,O=c1ccc2cc(O)c(OC3OC(CO)C(O)C(O)C3O)cc2o1,BP2_HMDB30821,conf00_base,base,0,-7.718,-8.339,work/ensemble_docking/conf00_base/BP2/BP2_HMDB30821_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_HMDB30821_vina.log,0
BP2,13974,numeric library ID,Nc1ccc(N=Nc2ccccc2)c2ccccc12,BP2_13974,conf00_base,base,0,-7.699,-7.916,work/ensemble_docking/conf00_base/BP2/BP2_13974_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_13974_vina.log,0
BP2,HMDB38956,HMDB,O=c1oc(C=CC=Cc2ccc(O)cc2)nc2ccccc12,BP2_HMDB38956,conf00_base,base,0,-7.636,-8.5,work/ensemble_docking/conf00_base/BP2/BP2_HMDB38956_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_HMDB38956_vina.log,0
BP2,96541,numeric library ID,N#CC1C=Cc2c(ccc3ccccc23)N1C(=O)c1ccccc1,BP2_96541,conf00_base,base,0,-7.635,-7.998,work/ensemble_docking/conf00_base/BP2/BP2_96541_vina_out.pdbqt,work/ensemble_docking/conf00_base/BP2/BP2_96541_vina.log,0
