pocket,ligand_name,compound_ids,source_databases,desalted_smiles,old_best_docking_score_kcal_mol,conf00_base,conf01_mode1_minus,conf02_mode1_plus,conf03_mode2_minus,conf04_mode2_plus,ensemble_best_score_kcal_mol,ensemble_mean_score_kcal_mol,ensemble_std_score_kcal_mol,ensemble_range_score_kcal_mol,enopt_style_weighted_score_kcal_mol,rank_ensemble_best,rank_ensemble_mean,rank_enopt_style_weighted
BP1,BP1_DB03623,DB03623,DrugBank,Oc1ccc(-c2cnc3ccc4ccncc4c3c2)cc1,-7.328,-7.516,-7.4,-7.477,-7.586,-7.313,-7.586,-7.4584,0.1054717971782032,0.2730000000000006,-7.459120800000001,5,5,5
BP1,BP1_DB04641,DB04641,DrugBank,O=C(O)c1cc2cc(O)ccc2cc1O,-7.11,-7.056,-6.922,-7.216,-7.173,-6.934,-7.216,-7.060199999999999,0.13420208642193318,0.2940000000000005,-7.062369300000001,16,16,16
BP1,BP1_DB04840,DB04840,DrugBank,N=C(N)N1CCc2ccccc2C1,-6.513,-6.382,-6.392,-6.276,-6.357,-6.367,-6.392,-6.3548,0.04606191485381399,0.11600000000000055,-6.3535947,35,34,34
BP1,BP1_HMDB32713,HMDB32713,HMDB,Oc1ccc(-c2cc(O)cc(O)c2)cc1,-7.148,-6.727,-6.671,-6.791,-6.625,-6.728,-6.791,-6.7084,0.06306187437747161,0.16600000000000037,-6.709069000000001,27,26,26
BP1,BP1_HMDB34138,HMDB34138,HMDB,O=c1oc2cc(O)ccc2c2oc3cc(O)cc(O)c3c12,-7.241,-7.207,-7.035,-7.255,-7.284,-7.015,-7.284,-7.1592,0.12575452278148883,0.26900000000000013,-7.160350300000001,12,14,14
BP1,BP1_HMDB59798,HMDB59798,HMDB,Oc1ccc2c(ccc3ccccc32)c1,-7.118,-7.41,-7.439,-7.362,-7.424,-7.36,-7.439,-7.398999999999999,0.03618010503025107,0.07899999999999974,-7.399349900000001,7,6,6
BP1,BP1_HMDB59801,HMDB59801,HMDB,Oc1cc2ccccc2c2ccccc12,-7.051,-7.141,-7.111,-7.151,-7.242,-7.039,-7.242,-7.136799999999999,0.07334302966199321,0.2030000000000003,-7.137736100000001,15,15,15
BP1,BP1_LSM-25905,LSM-25905,LINCS,Cc1cc(O)nc2cc(O)ccc12,-7.024,-6.371,-6.465,-6.485,-6.534,-6.252,-6.534,-6.4214,0.11164810791052396,0.28200000000000003,-6.4256395,32,32,32
BP1,BP1_LSM-32647,LSM-32647,LINCS,CN(C)C(=O)c1c(-c2ccccc2)oc2ccc(O)cc12,-6.988,-6.588,-6.576,-6.714,-6.669,-6.545,-6.714,-6.618399999999999,0.07037257988733978,0.16900000000000048,-6.620569900000001,29,28,28
BP1,BP1_LSM-33579,LSM-33579,LINCS,O=C(NC1CCCC1)c1cc2c(ccc3ccccc32)o1,-6.986,-7.24,-7.23,-7.181,-7.272,-7.235,-7.272,-7.2316,0.03270015290484136,0.09100000000000019,-7.230481600000001,13,12,12
